ingredient_id,date,unit_cost
ING001,2023-07-01,15020.0
ING001,2023-07-02,15010.0
ING001,2023-07-03,15040.0
ING001,2023-07-04,15090.0
ING001,2023-07-05,15080.0
ING001,2023-07-06,15070.0
ING001,2023-07-07,15120.0
ING001,2023-07-08,15150.0
ING001,2023-07-09,15120.0
ING001,2023-07-10,15140.0
ING001,2023-07-11,15110.0
ING001,2023-07-12,15090.0
ING001,2023-07-13,15100.0
ING001,2023-07-14,15020.0
ING001,2023-07-15,14960.0
ING001,2023-07-16,14940.0
ING001,2023-07-17,14910.0
ING001,2023-07-18,14920.0
ING001,2023-07-19,14890.0
ING001,2023-07-20,14850.0
ING001,2023-07-21,14910.0
ING001,2023-07-22,14910.0
ING001,2023-07-23,14920.0
ING001,2023-07-24,14870.0
ING001,2023-07-25,14860.0
ING001,2023-07-26,14870.0
ING001,2023-07-27,14840.0
ING001,2023-07-28,14860.0
ING001,2023-07-29,14850.0
ING001,2023-07-30,14850.0
ING001,2023-07-31,14840.0
ING001,2023-08-01,14920.0
ING001,2023-08-02,14920.0
ING001,2023-08-03,14890.0
ING001,2023-08-04,14930.0
ING001,2023-08-05,14890.0
ING001,2023-08-06,14910.0
ING001,2023-08-07,14840.0
ING001,2023-08-08,14800.0
ING001,2023-08-09,14820.0
ING001,2023-08-10,14860.0
ING001,2023-08-11,14880.0
ING001,2023-08-12,14880.0
ING001,2023-08-13,14880.0
ING001,2023-08-14,14840.0
ING001,2023-08-15,14820.0
ING001,2023-08-16,14820.0
ING001,2023-08-17,14870.0
ING001,2023-08-18,14890.0
ING001,2023-08-19,14840.0
ING001,2023-08-20,14860.0
ING001,2023-08-21,14860.0
ING001,2023-08-22,14840.0
ING001,2023-08-23,14880.0
ING001,2023-08-24,14930.0
ING001,2023-08-25,14970.0
ING001,2023-08-26,14940.0
ING001,2023-08-27,14940.0
ING001,2023-08-28,14960.0
ING001,2023-08-29,15000.0
ING001,2023-08-30,14990.0
ING001,2023-08-31,14990.0
ING001,2023-09-01,14950.0
ING001,2023-09-02,14920.0
ING001,2023-09-03,14960.0
ING001,2023-09-04,15010.0
ING001,2023-09-05,15020.0
ING001,2023-09-06,15060.0
ING001,2023-09-07,15080.0
ING001,2023-09-08,15050.0
ING001,2023-09-09,15070.0
ING001,2023-09-10,15130.0
ING001,2023-09-11,15130.0
ING001,2023-09-12,15190.0
ING001,2023-09-13,15080.0
ING001,2023-09-14,15120.0
ING001,2023-09-15,15120.0
ING001,2023-09-16,15110.0
ING001,2023-09-17,15110.0
ING001,2023-09-18,15040.0
ING001,2023-09-19,15040.0
ING001,2023-09-20,15060.0
ING001,2023-09-21,15110.0
ING001,2023-09-22,15100.0
ING001,2023-09-23,15070.0
ING001,2023-09-24,15050.0
ING001,2023-09-25,15090.0
ING001,2023-09-26,15110.0
ING001,2023-09-27,15090.0
ING001,2023-09-28,15110.0
ING001,2023-09-29,15120.0
ING001,2023-09-30,15150.0
ING001,2023-10-01,15130.0
ING001,2023-10-02,15120.0
ING001,2023-10-03,15100.0
ING001,2023-10-04,15050.0
ING001,2023-10-05,15070.0
ING001,2023-10-06,15080.0
ING001,2023-10-07,15090.0
ING001,2023-10-08,15080.0
ING001,2023-10-09,15030.0
ING001,2023-10-10,15020.0
ING001,2023-10-11,15020.0
ING001,2023-10-12,15000.0
ING001,2023-10-13,15000.0
ING001,2023-10-14,15020.0
ING001,2023-10-15,15100.0
ING001,2023-10-16,15110.0
ING001,2023-10-17,15120.0
ING001,2023-10-18,15120.0
ING001,2023-10-19,15050.0
ING001,2023-10-20,15060.0
ING001,2023-10-21,15070.0
ING001,2023-10-22,15170.0
ING001,2023-10-23,15160.0
ING001,2023-10-24,15170.0
ING001,2023-10-25,15170.0
ING001,2023-10-26,15130.0
ING001,2023-10-27,15180.0
ING001,2023-10-28,15210.0
ING001,2023-10-29,15230.0
ING001,2023-10-30,15200.0
ING001,2023-10-31,15250.0
ING001,2023-11-01,15200.0
ING001,2023-11-02,15220.0
ING001,2023-11-03,15300.0
ING001,2023-11-04,15260.0
ING001,2023-11-05,15230.0
ING001,2023-11-06,15240.0
ING001,2023-11-07,15220.0
ING001,2023-11-08,15160.0
ING001,2023-11-09,15160.0
ING001,2023-11-10,15130.0
ING001,2023-11-11,15150.0
ING001,2023-11-12,15120.0
ING001,2023-11-13,15180.0
ING001,2023-11-14,15150.0
ING001,2023-11-15,15150.0
ING001,2023-11-16,15180.0
ING001,2023-11-17,15140.0
ING001,2023-11-18,15150.0
ING001,2023-11-19,15200.0
ING001,2023-11-20,15140.0
ING001,2023-11-21,15160.0
ING001,2023-11-22,15170.0
ING001,2023-11-23,15200.0
ING001,2023-11-24,15160.0
ING001,2023-11-25,15110.0
ING001,2023-11-26,15140.0
ING001,2023-11-27,15150.0
ING001,2023-11-28,15170.0
ING001,2023-11-29,15190.0
ING001,2023-11-30,15160.0
ING001,2023-12-01,15180.0
ING001,2023-12-02,15190.0
ING001,2023-12-03,15170.0
ING001,2023-12-04,15240.0
ING001,2023-12-05,15260.0
ING001,2023-12-06,15220.0
ING001,2023-12-07,15240.0
ING001,2023-12-08,15210.0
ING001,2023-12-09,15240.0
ING001,2023-12-10,15280.0
ING001,2023-12-11,15250.0
ING001,2023-12-12,15290.0
ING001,2023-12-13,15300.0
ING001,2023-12-14,15330.0
ING001,2023-12-15,15400.0
ING001,2023-12-16,15390.0
ING001,2023-12-17,15350.0
ING001,2023-12-18,15320.0
ING001,2023-12-19,15280.0
ING001,2023-12-20,15280.0
ING001,2023-12-21,15290.0
ING001,2023-12-22,15300.0
ING001,2023-12-23,15330.0
ING001,2023-12-24,15330.0
ING001,2023-12-25,15380.0
ING001,2023-12-26,15370.0
ING001,2023-12-27,15470.0
ING001,2023-12-28,15480.0
ING001,2023-12-29,15440.0
ING001,2023-12-30,15390.0
ING001,2023-12-31,15410.0
ING001,2024-01-01,15390.0
ING001,2024-01-02,15420.0
ING001,2024-01-03,15430.0
ING001,2024-01-04,15420.0
ING001,2024-01-05,15380.0
ING001,2024-01-06,15320.0
ING001,2024-01-07,15300.0
ING001,2024-01-08,15340.0
ING001,2024-01-09,15340.0
ING001,2024-01-10,15300.0
ING001,2024-01-11,15300.0
ING001,2024-01-12,15320.0
ING001,2024-01-13,15290.0
ING001,2024-01-14,15290.0
ING001,2024-01-15,15300.0
ING001,2024-01-16,15260.0
ING001,2024-01-17,15270.0
ING001,2024-01-18,15300.0
ING001,2024-01-19,15340.0
ING001,2024-01-20,15380.0
ING001,2024-01-21,15320.0
ING001,2024-01-22,15290.0
ING001,2024-01-23,15310.0
ING001,2024-01-24,15330.0
ING001,2024-01-25,15350.0
ING001,2024-01-26,15500.0
ING001,2024-01-27,15510.0
ING001,2024-01-28,15540.0
ING001,2024-01-29,15570.0
ING001,2024-01-30,15580.0
ING001,2024-01-31,15560.0
ING001,2024-02-01,15580.0
ING001,2024-02-02,15540.0
ING001,2024-02-03,15520.0
ING001,2024-02-04,15490.0
ING001,2024-02-05,15490.0
ING001,2024-02-06,15570.0
ING001,2024-02-07,15490.0
ING001,2024-02-08,15510.0
ING001,2024-02-09,15440.0
ING001,2024-02-10,15420.0
ING001,2024-02-11,15460.0
ING001,2024-02-12,15460.0
ING001,2024-02-13,15410.0
ING001,2024-02-14,15380.0
ING001,2024-02-15,15410.0
ING001,2024-02-16,15380.0
ING001,2024-02-17,15390.0
ING001,2024-02-18,15390.0
ING001,2024-02-19,15360.0
ING001,2024-02-20,15450.0
ING001,2024-02-21,15470.0
ING001,2024-02-22,15390.0
ING001,2024-02-23,15390.0
ING001,2024-02-24,15370.0
ING001,2024-02-25,15400.0
ING001,2024-02-26,15370.0
ING001,2024-02-27,15370.0
ING001,2024-02-28,15390.0
ING001,2024-02-29,15420.0
ING001,2024-03-01,15380.0
ING001,2024-03-02,15370.0
ING001,2024-03-03,15350.0
ING001,2024-03-04,15330.0
ING001,2024-03-05,15400.0
ING001,2024-03-06,15410.0
ING001,2024-03-07,15370.0
ING001,2024-03-08,15400.0
ING001,2024-03-09,15480.0
ING001,2024-03-10,15520.0
ING001,2024-03-11,15460.0
ING001,2024-03-12,15440.0
ING001,2024-03-13,15480.0
ING001,2024-03-14,15450.0
ING001,2024-03-15,15470.0
ING001,2024-03-16,15500.0
ING001,2024-03-17,15460.0
ING001,2024-03-18,15450.0
ING001,2024-03-19,15330.0
ING001,2024-03-20,15300.0
ING001,2024-03-21,15300.0
ING001,2024-03-22,15260.0
ING001,2024-03-23,15330.0
ING001,2024-03-24,15280.0
ING001,2024-03-25,15270.0
ING001,2024-03-26,15280.0
ING001,2024-03-27,15340.0
ING001,2024-03-28,15300.0
ING001,2024-03-29,15350.0
ING001,2024-03-30,15350.0
ING001,2024-03-31,15320.0
ING001,2024-04-01,15340.0
ING001,2024-04-02,15360.0
ING001,2024-04-03,15340.0
ING001,2024-04-04,15350.0
ING001,2024-04-05,15340.0
ING001,2024-04-06,15350.0
ING001,2024-04-07,15380.0
ING001,2024-04-08,15440.0
ING001,2024-04-09,15400.0
ING001,2024-04-10,15480.0
ING001,2024-04-11,15410.0
ING001,2024-04-12,15410.0
ING001,2024-04-13,15430.0
ING001,2024-04-14,15440.0
ING001,2024-04-15,15420.0
ING001,2024-04-16,15420.0
ING001,2024-04-17,15400.0
ING001,2024-04-18,15380.0
ING001,2024-04-19,15420.0
ING001,2024-04-20,15440.0
ING001,2024-04-21,15410.0
ING001,2024-04-22,15450.0
ING001,2024-04-23,15460.0
ING001,2024-04-24,15500.0
ING001,2024-04-25,15520.0
ING001,2024-04-26,15490.0
ING001,2024-04-27,15470.0
ING001,2024-04-28,15500.0
ING001,2024-04-29,15520.0
ING001,2024-04-30,15520.0
ING001,2024-05-01,15520.0
